GENEID	E13_5_CH_1_30208_ATTACT_sort.bam	E13_5_CH_2_30209_TCCGGA_sort.bam	E13_5_CH_4_30210_CGCTCA_sort.bam	E13_5_retina_1_30211_GAGATT_sort.bam	E13_5_retina_2_30212_ATTCAG_sort.bam	E13_5_retina_3_30213_GAATTC_sort.bam	E15_5_CH_1_30214_CTGAAG_sort.bam	E15_5_CH_2_30215_TAATGC_sort.bam	E15_5_CH_4_30216_CGGCTA_sort.bam	E15_5_retina_1_30217_TCCGCG_sort.bam	E15_5_retina_2_30218_TCTCGC_sort.bam	E15_5_retina_3_30219_AGCGAT_sort.bam
ENSMUSG00000137939	67.4065206371804	38.0496059017504	48.7072397194214	52.7328304224389	45.6857443939252	55.6391478112271	11.8479088677807	13.4769785174806	29.6338779423714	65.462985656798	46.7939499540577	102.995097433362
Gm56775	0	0	0	0	0	0	0	0	0	0	0	0
Gm65774	0	0	0	0	0	0	0	0	0	0	0	0
Gm65765	64.9056747464135	20.9359596629377	0	40.6211138922808	87.981519833685	64.289859144776	0	0	0	116.370917092432	22.5289249994514	41.757423817495
Gm36981	0	0	0	0	0	0	0	6.70693780401711	0	10.0240723084451	0	0
Gm65750	20.3367604842101	39.3589249786616	0	57.2747822398461	20.6753003826523	60.4314247759898	0	0	21.4575232984179	0	21.1768240667998	0
Gm65758	0	0	0	0	0	0	0	0	0	0	0	0
Gm40078	39.2106734590009	18.9716788501523	0	18.4049534797316	59.7951025140193	38.8386482923093	0	0	0	0	0	0
Gm64499	1447.64189475643	1701.03593088191	717.291936024732	1601.68633302893	1997.36190542018	2202.07127848674	1690.26909356594	1054.37210900471	545.507757256685	2595.51134122585	1561.27772815786	2345.00221403135
4930565D16Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm65159	0	0	0	0	0	0	0	0	0	0	0	0
Gm65148	0	0	0	0	11.9908962238054	0	0	0	0	0	0	0
Gm66483	0	0	0	0	0	0	0	0	0	0	0	0
Gm64405	0	0	0	0	0	0	0	0	0	0	0	0
Gm66087	0	0	0	0	0	0	0	0	0	0	0	0
Gm65584	0	0	0	0	0	0	0	0	0	0	0	0
Gm64927	0	0	0	0	0	0	0	0	0	0	0	0
Gm65229	0	0	0	0	0	0	0	0	0	0	0	0
Gm40080	0	0	0	0	0	0	0	0	0	0	0	0
Gm37726	0	0	0	0	0	0	13.6101557348875	0	0	0	0	0
Gm65029	0	0	55.8943748348321	0	32.7668963647946	0	33.9904017903424	0	136.026355922618	0	33.5617276020105	62.2067534761912
Gm65227	0	0	0	0	0	71.7841490836179	0	0	0	0	0	0
Gm30944	0	0	0	0	0	0	0	0	0	0	0	0
Gm30991	0	0	0	0	0	0	0	0	0	0	0	0
Gm66411	0	0	0	0	0	0	0	0	0	0	0	0
Gm66514	0	0	0	0	0	0	0	0	0	0	0	0
Gm38313	0	0	0	0	0	0	0	0	0	0	0	0
Gm65600	0	0	0	0	0	0	0	0	0	0	0	0
Gm66101	0	0	0	0	0	0	0	0	0	0	0	0
Gm65810	0	0	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm31210	0	0	0	0	0	0	0	0	0	0	0	0
Gm66413	0	0	0	0	0	0	0	0	0	0	0	0
Gm42813	0	0	0	0	0	0	0	0	0	0	0	0
Gm45790	0	0	0	0	0	0	0	0	0	0	0	0
Gm54168	0	0	0	0	0	0	0	0	0	0	0	0
Gm42812	0	0	0	0	0	0	0	0	0	0	0	0
Gm15535	0	0	0	0	0	0	0	0	0	0	0	0
Gm40082	0	0	0	0	0	0	0	0	0	0	0	0
Gm65626	0	0	0	0	0	0	0	0	0	0	0	0
4933425M03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm66691	0	0	0	0	0	0	0	0	0	0	0	0
Gm37933	0	0	0	0	0	0	0	0	0	0	0	0
Gm66037	0	0	0	66.4032031045888	71.9115525297891	35.0314747290999	149.193413782152	0	0	158.52596721924	147.311842450574	68.2607252531406
Gm65205	0	0	0	45.4438909277543	0	0	0	58.0706873571751	0	0	0	93.4302204719628
Gm37876	0	0	0	44.3870562550158	0	0	0	0	0	14.1288385617148	0	30.4191415490111
Gm66978	0	0	0	11.693957029596	0	6.16922890783204	19.7053148978289	0	0	0	19.4567988631626	12.0210765535213
Gm37855	0	0	0	0	0	0	0	0	0	0	0	0
Gm64310	515.951145617924	756.04538166683	460.167445730152	747.299539700849	509.553170277218	584.063858505157	1476.91393081964	1343.98989998664	964.339697866462	660.757852783309	614.015851249011	412.554018791836
Gm64938	0	0	0	0	0	0	0	0	0	0	0	0
Gm31879	0	0	0	20.1196029919459	0	0	0	0	0	19.2128052578531	44.6342291869474	0
Gm31940	0	0	0	0	0	0	0	0	0	0	0	0
Gm40085	0	0	0	0	0	0	0	0	0	0	0	0
Gm56788	0	0	0	0	0	0	0	0	0	0	0	0
Gm64811	0	0	0	0	0	0	0	0	0	0	0	0
Gm65523	0	0	0	0	0	0	0	0	0	0	0	0
Gm66453	0	0	0	0	0	0	0	0	0	0	0	0
Gm64606	0	0	0	0	0	0	0	0	0	0	0	0
Gm66252	0	0	0	62.1106477587776	0	0	0	0	0	0	0	0
Gm65498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000125197	28.5269916689773	0	0	53.5607178625182	29.001871867816	28.2563317211966	0	0	0	51.1467170686875	0	27.5294961345146
Gm66438	485.611764872081	128.159034767666	153.119097258801	207.217742082542	44.8814179081166	131.183004839429	0	0	0	79.1513456045358	367.760902455834	340.822916932935
Gm19439	8.00102925240303	30.9697220795722	0	7.51114725608702	8.1342199654787	31.700466602338	0	67.1870811605351	0	28.6904686045797	8.33153288907601	61.7700755641056
Ttc24	29289.6232557321	30658.7589034705	32087.9603775485	12438.9974960942	11690.8377196337	11948.0560225261	20997.8867570884	23399.5529070541	20590.1424460959	8352.71652583782	8511.27767195942	8168.03048152747
Gm65859	0	0	0	0	0	0	0	0	0	0	0	0
Gm64796	4.72137557466223	18.275109959966	0	44.322981548817	33.5997961970762	14.0297395497638	39.8336020981155	0	0	42.3253288489704	24.5820222880476	45.5628452311022
Gm56779	81.2811205090149	44.2429082747374	79.2893866680499	252.758626728235	103.2927284109	145.924260920791	53.5748229191378	12.1882560984671	101.840639852519	81.9735977978904	185.147050770411	112.756042007999
1700113A16Rik	7.40337339150608	21.4922739143887	0	6.95008429305484	30.1064604331978	14.6662625231366	0	44.4059876749583	0	6.63684149739834	77.0918927498205	0
AI849053	246.772062218401	346.639674990641	96.635163603332	381.122765247433	404.645164631909	315.394483592785	142.716525104466	47.7470096047885	151.18357843971	285.44739240239	290.122489715158	307.281613996678
AW047730	0	0	0	17.5999517761321	0	0	0	0	0	8.40335781371521	9.76113049508942	18.0922819455988
Gm3764	0	4.84972230166786	0	1.56828351103109	3.39675487965493	1.65471789359972	0	0	0	2.99520081967864	6.95830088590652	1.61215370434633
Gm65761	0	0	0	0	0	0	0	0	0	0	0	0
Gm65775	0	0	0	0	0	0	0	0	0	0	0	0
Gm65766	0	0	0	0	0	0	0	0	57.1428212245124	0	0	0
Gm65702	0	0	0	0	0	0	0	0	0	0	0	0
Gm65645	0	0	0	0	0	0	0	0	0	0	0	0
Gm65350	0	0	0	0	0	0	0	0	0	0	0	0
Gm65428	0	0	0	0	0	0	0	0	0	0	0	0
Gm66694	0	0	335.24313364592	129.625195487757	252.680405667723	136.769358936849	0	198.770590645485	174.826825288211	173.29611790949	57.5132688862647	0
Gm64820	0	56.5942326515332	0	0	74.322581258922	72.4119987840577	77.0977626614764	17.5397178140039	46.2806872774622	13.1072782225587	60.9003476953101	42.329610091379
Gm40089	0	0	0	28.7072384153375	31.0885919168417	0	0	0	0	27.4133928679124	0	59.0205539078984
Gm65879	0	0	190.727296585524	51.6226655714402	0	54.4677973309908	57.9923960370316	65.9662632697735	0	98.5920269810885	0	53.0667261013999
Gm37584	22.8060260818837	0	0	0	0	0	0	0	0	0	0	0
Gm66297	0	59.6186173202576	0	0	0	0	0	36.9540737727478	0	0	64.1548503055631	0
Gm66709	0	0	0	35.4784257732882	19.2107350202036	0	0	113.340678413778	0	0	0	0
Gm40090	0	0	0	43.9998794403303	0	0	16.4763442946333	0	0	14.005596356192	0	45.2307048639969
Gm20652	0	0	0	0	0	0	0	0	0	0	0	0
Gm64415	0	0	0	0	0	0	0	0	0	0	0	0
Gm43714	0	0	0	0	0	0	0	0	0	0	0	0
Gm17146	0	0	0	0	0	0	0	0	0	0	0	0
Gm65006	0	0	0	44.1649821774423	47.8286029489873	0	0	112.872855726142	0	126.523351698057	0	272.402556497993
Gm10253	1760.60095179154	1393.93401219641	2636.90632598454	1577.67652823014	1464.47111710399	1506.09254066714	1687.94888890764	2208.04522076612	1238.41867445294	1937.01867477313	1833.32722224259	2085.18361200139
Gm66963	3.52526721172938	6.82265633328971	30.567850148671	33.0942436392194	21.5037076101309	17.4590999458258	22.3066491715617	4.228963313794	55.7931805713818	18.9616045142878	14.6835507236689	30.61800139465
1500004A13Rik	523.216021255566	516.40617624009	518.173254725953	507.104448810426	484.171899298092	509.205033805554	608.204985225091	529.048195714624	483.216323533103	545.072623721859	479.612420556279	509.957486544205
Gm66729	93.5642749142951	72.4321708935667	0	35.134232090413	57.0730866533065	37.0706202730325	138.143080709108	112.241104667973	0	33.5507196293853	0	72.2341107529503
Gm66727	0	22.9345720693241	0	0	24.0951279506713	23.4757236133571	0	0	0	0	12.3398034377903	0
