genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000009739	388	Pou6f1	POU6F1	AXON CONTRAS
ENSMUSG00000041540	389	Sox5	SOX5	AXON CONTRAS
ENSMUSG00000020902	390	Ntn1	NTN1	AXON CONTRAS
ENSMUSG00000097698	391	NA	NA	AXON CONTRAS
ENSMUSG00000026787	392	Gad2	GAD2	AXON CONTRAS
ENSMUSG00000060206	393	Zfp462	ZFP462	AXON CONTRAS
ENSMUSG00000030956	394	Fam53b	FAM53B	AXON CONTRAS
ENSMUSG00000102657	395	Gm37899	GM37899	AXON CONTRAS
ENSMUSG00000024998	396	Plce1	PLCE1	AXON CONTRAS
ENSMUSG00000025571	397	Tnrc6c	TNRC6C	AXON CONTRAS
ENSMUSG00000034471	398	Caskin2	CASKIN2	AXON CONTRAS
ENSMUSG00000028804	399	Csmd2	CSMD2	AXON CONTRAS
ENSMUSG00000056073	400	Grik2	GRIK2	AXON CONTRAS
ENSMUSG00000033705	401	Stard9	STARD9	AXON CONTRAS
ENSMUSG00000031654	402	Cbln1	CBLN1	AXON CONTRAS
ENSMUSG00000070407	403	Hs3st3b1	HS3ST3B1	AXON CONTRAS
ENSMUSG00000102349	404	Gm37376	GM37376	AXON CONTRAS
ENSMUSG00000042564	405	Fam227a	FAM227A	AXON CONTRAS
ENSMUSG00000027831	406	Veph1	VEPH1	AXON CONTRAS
ENSMUSG00000031665	407	Sall1	SALL1	AXON CONTRAS
ENSMUSG00000030507	408	Dbx1	DBX1	AXON CONTRAS
ENSMUSG00000097532	409	Gm4349	GM4349	AXON CONTRAS
ENSMUSG00000086591	410	Dnah2os	DNAH2OS	AXON CONTRAS
ENSMUSG00000103632	411	Gm38329	GM38329	AXON CONTRAS
ENSMUSG00000029530	412	Ccr9	CCR9	AXON CONTRAS
ENSMUSG00000064337	413	mt-Rnr1	MT-RNR1	AXON CONTRAS
ENSMUSG00000052133	414	Sema5b	SEMA5B	AXON CONTRAS
ENSMUSG00000070291	415	Ddx43	DDX43	AXON CONTRAS
ENSMUSG00000039410	416	Prdm16	PRDM16	AXON CONTRAS
ENSMUSG00000090226	417	Gm16110	GM16110	AXON CONTRAS
ENSMUSG00000056078	418	Lipm	LIPM	AXON CONTRAS
ENSMUSG00000095147	419	NA	NA	AXON CONTRAS
ENSMUSG00000039676	420	Capsl	CAPSL	AXON CONTRAS
ENSMUSG00000105097	421	Gm42133	GM42133	AXON CONTRAS
ENSMUSG00000105352	422	C030018K13Rik	C030018K13RIK	AXON CONTRAS
ENSMUSG00000104586	423	4921539H07Rik	4921539H07RIK	AXON CONTRAS
ENSMUSG00000087401	424	Gm14664	GM14664	AXON CONTRAS
ENSMUSG00000090054	425	Gm15629	GM15629	AXON CONTRAS
ENSMUSG00000088366	426	NA	NA	AXON CONTRAS
ENSMUSG00000023391	427	Dlx2	DLX2	AXON CONTRAS
ENSMUSG00000086898	428	Itpr3os	ITPR3OS	AXON CONTRAS
ENSMUSG00000096225	429	Lhx8	LHX8	AXON CONTRAS
ENSMUSG00000064585	430	Gm25129	GM25129	AXON CONTRAS
ENSMUSG00000108478	431	Gm19514	GM19514	AXON CONTRAS
ENSMUSG00000068314	432	Gm6899	GM6899	AXON CONTRAS
ENSMUSG00000102854	433	C130023A14Rik	C130023A14RIK	AXON CONTRAS
ENSMUSG00000104033	434	Gm37773	GM37773	AXON CONTRAS
ENSMUSG00000103049	435	Gm37311	GM37311	AXON CONTRAS
ENSMUSG00000034037	436	Fgd5	FGD5	AXON CONTRAS
ENSMUSG00000049804	437	Armcx4	ARMCX4	AXON CONTRAS
ENSMUSG00000039262	438	Prrc2b	PRRC2B	AXON CONTRAS
ENSMUSG00000107967	439	Gm44094	GM44094	AXON CONTRAS
ENSMUSG00000104175	440	Gm37700	GM37700	AXON CONTRAS
ENSMUSG00000083183	441	Gm15575	GM15575	AXON CONTRAS
ENSMUSG00000103805	442	Gm37063	GM37063	AXON CONTRAS
ENSMUSG00000024789	443	Jak2	JAK2	AXON CONTRAS
ENSMUSG00000032198	444	Dock6	DOCK6	AXON CONTRAS
ENSMUSG00000045515	445	Pou3f3	POU3F3	AXON CONTRAS
ENSMUSG00000107595	446	Gm44441	GM44441	AXON CONTRAS
ENSMUSG00000035640	447	Cbarp	CBARP	AXON CONTRAS
ENSMUSG00000064367	448	mt-Nd5	MT-ND5	AXON CONTRAS
ENSMUSG00000070527	449	Mkrn3	MKRN3	AXON CONTRAS
ENSMUSG00000024299	450	Adamts10	ADAMTS10	AXON CONTRAS
ENSMUSG00000027676	451	Ccdc39	CCDC39	AXON CONTRAS
ENSMUSG00000004665	452	Cnn2	CNN2	AXON CONTRAS
ENSMUSG00000039385	453	Cdh6	CDH6	AXON CONTRAS
ENSMUSG00000027298	454	Tyro3	TYRO3	AXON CONTRAS
ENSMUSG00000058006	455	Mdn1	MDN1	AXON CONTRAS
ENSMUSG00000053846	456	Lipg	LIPG	AXON CONTRAS
ENSMUSG00000026447	457	Pik3c2b	PIK3C2B	AXON CONTRAS
ENSMUSG00000027329	458	Spef1	SPEF1	AXON CONTRAS
ENSMUSG00000097816	459	Gm26811	GM26811	AXON CONTRAS
ENSMUSG00000029917	460	Qrfprl	QRFPRL	AXON CONTRAS
ENSMUSG00000047678	461	Gpr82	GPR82	AXON CONTRAS
ENSMUSG00000089957	462	A830011K09Rik	A830011K09RIK	AXON CONTRAS
ENSMUSG00000000823	463	Zfp512b	ZFP512B	AXON CONTRAS
ENSMUSG00000037664	464	Cdkn1c	CDKN1C	AXON CONTRAS
ENSMUSG00000024534	465	Sncaip	SNCAIP	AXON CONTRAS
ENSMUSG00000003378	466	Grik5	GRIK5	AXON CONTRAS
ENSMUSG00000067786	467	Nnat	NNAT	AXON CONTRAS
ENSMUSG00000092526	468	Gm17907	GM17907	AXON CONTRAS
ENSMUSG00000016763	469	Scube1	SCUBE1	AXON CONTRAS
ENSMUSG00000104197	470	Gm37632	GM37632	AXON CONTRAS
ENSMUSG00000034818	471	Celf5	CELF5	AXON CONTRAS
ENSMUSG00000034480	472	Diaph2	DIAPH2	AXON CONTRAS
ENSMUSG00000031284	473	Pak3	PAK3	AXON CONTRAS
ENSMUSG00000084849	474	Gm16105	GM16105	AXON CONTRAS
ENSMUSG00000102760	475	Gm37258	GM37258	AXON CONTRAS
ENSMUSG00000087660	476	B230398E01Rik	B230398E01RIK	AXON CONTRAS
ENSMUSG00000091315	477	Gm17214	GM17214	AXON CONTRAS
ENSMUSG00000084911	478	Gm16185	GM16185	AXON CONTRAS
ENSMUSG00000000530	479	Acvrl1	ACVRL1	AXON CONTRAS
ENSMUSG00000038255	480	Neurod2	NEUROD2	AXON CONTRAS
ENSMUSG00000030849	481	Fgfr2	FGFR2	AXON CONTRAS
ENSMUSG00000038025	482	Phf2	PHF2	AXON CONTRAS
ENSMUSG00000049092	483	Gpr137c	GPR137C	AXON CONTRAS
ENSMUSG00000024650	484	Slc22a6	SLC22A6	AXON CONTRAS
ENSMUSG00000077990	485	NA	NA	AXON CONTRAS
ENSMUSG00000027584	486	Oprl1	OPRL1	AXON CONTRAS
ENSMUSG00000027584	487	Oprl1	OPRL1	AXON CONTRAS
ENSMUSG00000103081	488	Pcdhgb8	PCDHGB8	AXON CONTRAS
ENSMUSG00000100826	489	Snhg14	SNHG14	AXON CONTRAS
ENSMUSG00000003778	490	Brd8	BRD8	AXON CONTRAS
ENSMUSG00000038704	491	Aspdh	ASPDH	AXON CONTRAS
ENSMUSG00000023008	492	Fmnl3	FMNL3	AXON CONTRAS
ENSMUSG00000023008	493	Fmnl3	FMNL3	AXON CONTRAS
ENSMUSG00000040183	494	Ankrd6	ANKRD6	AXON CONTRAS
ENSMUSG00000045648	495	Vwc2l	VWC2L	AXON CONTRAS
ENSMUSG00000097248	496	Gm2694	GM2694	AXON CONTRAS
ENSMUSG00000055430	497	Nap1l5	NAP1L5	AXON CONTRAS
ENSMUSG00000043857	498	Mgat5b	MGAT5B	AXON CONTRAS
ENSMUSG00000053483	499	Usp21	USP21	AXON CONTRAS
ENSMUSG00000052212	500	Cd177	CD177	AXON CONTRAS
ENSMUSG00000002325	501	Irf9	IRF9	AXON CONTRAS
ENSMUSG00000037795	502	N4bp2	N4BP2	AXON CONTRAS
ENSMUSG00000104156	503	Gm38102	GM38102	AXON CONTRAS
ENSMUSG00000073002	504	Vamp5	VAMP5	AXON CONTRAS
ENSMUSG00000108311	505	Gm44737	GM44737	AXON CONTRAS
ENSMUSG00000107570	506	Gm44207	GM44207	AXON CONTRAS
ENSMUSG00000047003	507	Zfp41	ZFP41	AXON CONTRAS
ENSMUSG00000104814	508	Gm42979	GM42979	AXON CONTRAS
ENSMUSG00000028496	509	Mllt3	MLLT3	AXON CONTRAS
ENSMUSG00000024948	510	Map4k2	MAP4K2	AXON CONTRAS
ENSMUSG00000097330	511	Gm26672	GM26672	AXON CONTRAS
ENSMUSG00000041096	512	Tspyl2	TSPYL2	AXON CONTRAS
ENSMUSG00000014773	513	Dll1	DLL1	AXON CONTRAS
ENSMUSG00000047248	514	C2cd3	C2CD3	AXON CONTRAS
ENSMUSG00000036099	515	Vezt	VEZT	AXON CONTRAS
ENSMUSG00000034771	516	Tle2	TLE2	AXON CONTRAS
ENSMUSG00000085084	517	4930570G19Rik	4930570G19RIK	AXON CONTRAS
ENSMUSG00000028256	518	Odf2l	ODF2L	AXON CONTRAS
ENSMUSG00000044312	519	Neurog3	NEUROG3	AXON CONTRAS
ENSMUSG00000056515	520	Rab31	RAB31	AXON CONTRAS
ENSMUSG00000102344	521	9430053O09Rik	9430053O09RIK	AXON CONTRAS
ENSMUSG00000056854	522	Pou3f4	POU3F4	AXON CONTRAS
ENSMUSG00000051354	523	Samd3	SAMD3	AXON CONTRAS
ENSMUSG00000002006	524	Pdzd4	PDZD4	AXON CONTRAS
ENSMUSG00000107962	525	Gm43980	GM43980	AXON CONTRAS
ENSMUSG00000085555	526	2610035F20Rik	2610035F20RIK	AXON CONTRAS
ENSMUSG00000090369	527	4933411K16Rik	4933411K16RIK	AXON CONTRAS
ENSMUSG00000036885	528	Arhgef26	ARHGEF26	AXON CONTRAS
ENSMUSG00000043909	529	Trp53bp1	TRP53BP1	AXON CONTRAS
ENSMUSG00000033768	530	Nrxn2	NRXN2	AXON CONTRAS
ENSMUSG00000033377	531	Palmd	PALMD	AXON CONTRAS
ENSMUSG00000022914	532	Brwd1	BRWD1	AXON CONTRAS
ENSMUSG00000103388	533	Gm37581	GM37581	AXON CONTRAS
ENSMUSG00000022021	534	Diaph3	DIAPH3	AXON CONTRAS
ENSMUSG00000091192	535	Sardhos	SARDHOS	AXON CONTRAS
ENSMUSG00000019802	536	Sec63	SEC63	AXON CONTRAS
ENSMUSG00000043943	537	Naalad2	NAALAD2	AXON CONTRAS
ENSMUSG00000093511	538	NA	NA	AXON CONTRAS
ENSMUSG00000107955	539	Gm44027	GM44027	AXON CONTRAS
ENSMUSG00000042594	540	Sh2b3	SH2B3	AXON CONTRAS
ENSMUSG00000097991	541	Gm7656	GM7656	AXON CONTRAS
ENSMUSG00000092981	542	Mir5125	MIR5125	AXON CONTRAS
ENSMUSG00000037578	543	Pkd2l1	PKD2L1	AXON CONTRAS
ENSMUSG00000020580	544	Rock2	ROCK2	AXON CONTRAS
ENSMUSG00000050052	545	Tdrp	TDRP	AXON CONTRAS
ENSMUSG00000000416	546	Cttnbp2	CTTNBP2	AXON CONTRAS
ENSMUSG00000029833	547	Trim24	TRIM24	AXON CONTRAS
ENSMUSG00000034910	548	Pygo1	PYGO1	AXON CONTRAS
ENSMUSG00000028773	549	Fabp3	FABP3	AXON CONTRAS
ENSMUSG00000015533	550	Itga2	ITGA2	AXON CONTRAS
ENSMUSG00000043259	551	Fam13c	FAM13C	AXON CONTRAS
ENSMUSG00000097524	552	NA	NA	AXON CONTRAS
ENSMUSG00000028978	553	Nos3	NOS3	AXON CONTRAS
ENSMUSG00000067787	554	Blcap	BLCAP	AXON CONTRAS
ENSMUSG00000016520	555	Lnx2	LNX2	AXON CONTRAS
ENSMUSG00000041954	556	Tnfrsf18	TNFRSF18	AXON CONTRAS
ENSMUSG00000007783	557	Cpt1c	CPT1C	AXON CONTRAS
ENSMUSG00000030854	558	Ptpn5	PTPN5	AXON CONTRAS
ENSMUSG00000039219	559	Arid4b	ARID4B	AXON CONTRAS
ENSMUSG00000027397	560	Slc20a1	SLC20A1	AXON CONTRAS
ENSMUSG00000102749	561	Gm37598	GM37598	AXON CONTRAS
ENSMUSG00000036792	562	Mbd5	MBD5	AXON CONTRAS
ENSMUSG00000055024	563	Ep300	EP300	AXON CONTRAS
ENSMUSG00000025255	564	Zfhx4	ZFHX4	AXON CONTRAS
ENSMUSG00000034656	565	Cacna1a	CACNA1A	AXON CONTRAS
ENSMUSG00000003847	566	Nfat5	NFAT5	AXON CONTRAS
ENSMUSG00000025423	567	Pias2	PIAS2	AXON CONTRAS
ENSMUSG00000075585	568	6330403L08Rik	6330403L08RIK	AXON CONTRAS
ENSMUSG00000032228	569	Tcf12	TCF12	AXON CONTRAS
ENSMUSG00000102222	570	Pcdhga10	PCDHGA10	AXON CONTRAS
ENSMUSG00000064210	571	Ano6	ANO6	AXON CONTRAS
ENSMUSG00000085731	572	Gm16229	GM16229	AXON CONTRAS
ENSMUSG00000102664	573	Gm38380	GM38380	AXON CONTRAS
ENSMUSG00000038637	574	Lrrc56	LRRC56	AXON CONTRAS
ENSMUSG00000038453	575	Srcin1	SRCIN1	AXON CONTRAS
ENSMUSG00000025324	576	Atp10a	ATP10A	AXON CONTRAS
ENSMUSG00000050910	577	Cdr2l	CDR2L	AXON CONTRAS
ENSMUSG00000056536	578	Pign	PIGN	AXON CONTRAS
ENSMUSG00000086155	579	9430041J12Rik	9430041J12RIK	AXON CONTRAS
ENSMUSG00000026874	580	Hc	HC	AXON CONTRAS
ENSMUSG00000044337	581	Ackr3	ACKR3	AXON CONTRAS
ENSMUSG00000056155	582	Nanos3	NANOS3	AXON CONTRAS
ENSMUSG00000074824	583	Rslcan18	RSLCAN18	AXON CONTRAS
ENSMUSG00000059981	584	Taok2	TAOK2	AXON CONTRAS
ENSMUSG00000042514	585	Klhl14	KLHL14	AXON CONTRAS
ENSMUSG00000101559	586	Gm28258	GM28258	AXON CONTRAS
ENSMUSG00000087302	587	Sox5os1	SOX5OS1	AXON CONTRAS
ENSMUSG00000026313	588	Hdac4	HDAC4	AXON CONTRAS
ENSMUSG00000059481	589	Plg	PLG	AXON CONTRAS
ENSMUSG00000103032	590	Gm37121	GM37121	AXON CONTRAS
ENSMUSG00000070427	591	Il18bp	IL18BP	AXON CONTRAS
ENSMUSG00000004846	592	Plod3	PLOD3	AXON CONTRAS
ENSMUSG00000026121	593	Sema4c	SEMA4C	AXON CONTRAS
ENSMUSG00000037640	594	Zfp60	ZFP60	AXON CONTRAS
ENSMUSG00000062393	595	Dgkk	DGKK	AXON CONTRAS
ENSMUSG00000107120	596	Gm43059	GM43059	AXON CONTRAS
ENSMUSG00000091345	597	Col6a5	COL6A5	AXON CONTRAS
ENSMUSG00000022672	598	Prkdc	PRKDC	AXON CONTRAS
ENSMUSG00000086414	599	Gm15645	GM15645	AXON CONTRAS
ENSMUSG00000020776	600	Fbf1	FBF1	AXON CONTRAS
ENSMUSG00000086847	601	Tbx3os2	TBX3OS2	AXON CONTRAS
ENSMUSG00000038552	602	Fndc4	FNDC4	AXON CONTRAS
ENSMUSG00000097209	603	AU022754	AU022754	AXON CONTRAS
ENSMUSG00000035722	604	Abca7	ABCA7	AXON CONTRAS
ENSMUSG00000028226	605	Mmp16	MMP16	AXON CONTRAS
ENSMUSG00000021047	606	Nova1	NOVA1	AXON CONTRAS
ENSMUSG00000055799	607	Tcf7l1	TCF7L1	AXON CONTRAS
ENSMUSG00000041390	608	Mdfic	MDFIC	AXON CONTRAS
ENSMUSG00000055691	609	Gja6	GJA6	AXON CONTRAS
ENSMUSG00000030779	610	Rbbp6	RBBP6	AXON CONTRAS
ENSMUSG00000032536	611	Trak1	TRAK1	AXON CONTRAS
ENSMUSG00000090078	612	Gm16147	GM16147	AXON CONTRAS
ENSMUSG00000064329	613	Scn1a	SCN1A	AXON CONTRAS
ENSMUSG00000103932	614	Gm36963	GM36963	AXON CONTRAS
ENSMUSG00000049866	615	Arl4c	ARL4C	AXON CONTRAS
ENSMUSG00000064339	616	mt-Rnr2	MT-RNR2	AXON CONTRAS
ENSMUSG00000100789	617	Gm29508	GM29508	AXON CONTRAS
ENSMUSG00000078486	618	Perm1	PERM1	AXON CONTRAS
