genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000103771	857	Gm36934	GM36934	AXON CONTRAS
ENSMUSG00000018363	858	Smurf2	SMURF2	AXON CONTRAS
ENSMUSG00000090024	859	Gm16350	GM16350	AXON CONTRAS
ENSMUSG00000047307	860	Pcdhb13	PCDHB13	AXON CONTRAS
ENSMUSG00000048000	861	Gigyf2	GIGYF2	AXON CONTRAS
ENSMUSG00000103916	862	Gm38071	GM38071	AXON CONTRAS
ENSMUSG00000103922	863	Gm6123	GM6123	AXON CONTRAS
ENSMUSG00000084487	864	Gm23787	GM23787	AXON CONTRAS
ENSMUSG00000034863	865	Ano8	ANO8	AXON CONTRAS
ENSMUSG00000054280	866	Prr14l	PRR14L	AXON CONTRAS
ENSMUSG00000104293	867	Gm38043	GM38043	AXON CONTRAS
ENSMUSG00000107647	868	Gm44445	GM44445	AXON CONTRAS
ENSMUSG00000103780	869	Gm37524	GM37524	AXON CONTRAS
ENSMUSG00000102747	870	Gm37602	GM37602	AXON CONTRAS
ENSMUSG00000073077	871	Cfap47	CFAP47	AXON CONTRAS
ENSMUSG00000106764	872	Gm42529	GM42529	AXON CONTRAS
ENSMUSG00000103216	873	Gm37248	GM37248	AXON CONTRAS
ENSMUSG00000106472	874	Gm43111	GM43111	AXON CONTRAS
ENSMUSG00000020788	875	Atp2a3	ATP2A3	AXON CONTRAS
ENSMUSG00000052629	876	Gm9885	GM9885	AXON CONTRAS
ENSMUSG00000038346	877	Zfp384	ZFP384	AXON CONTRAS
ENSMUSG00000056459	878	Zbtb25	ZBTB25	AXON CONTRAS
ENSMUSG00000053007	879	Creb5	CREB5	AXON CONTRAS
ENSMUSG00000102995	880	A330074H02Rik	A330074H02RIK	AXON CONTRAS
ENSMUSG00000039891	881	Txlnb	TXLNB	AXON CONTRAS
ENSMUSG00000020455	882	Trim11	TRIM11	AXON CONTRAS
ENSMUSG00000049551	883	Fzd9	FZD9	AXON CONTRAS
ENSMUSG00000075023	884	Accsl	ACCSL	AXON CONTRAS
ENSMUSG00000105572	885	Gm43300	GM43300	AXON CONTRAS
ENSMUSG00000087143	886	A830082K12Rik	A830082K12RIK	AXON CONTRAS
