	genes	ranking	Gene.name.x	genes2	Final.CANDIDATES	X1	GENEBIOTYPE	SYMBOL	GENENAME
316	ENSMUSG00000022857	316	Tmprss15	TMPRSS15	AXON	CONTRAS	protein_coding	Tmprss15	Tmprss15
317	ENSMUSG00000085246	317	Gm15893	GM15893	AXON	CONTRAS	antisense	Gm15893	Gm15893
318	ENSMUSG00000029406	318	Pitpnm2	PITPNM2	AXON	CONTRAS	protein_coding	Pitpnm2	Pitpnm2
319	ENSMUSG00000082570	319	Gm15711	GM15711	AXON	CONTRAS	processed_pseudogene	Gm15711	Gm15711
320	ENSMUSG00000040938	320	Slc16a11	SLC16A11	AXON	CONTRAS	protein_coding	Slc16a11	Slc16a11
321	ENSMUSG00000025404	321	R3hdm2	R3HDM2	AXON	CONTRAS	protein_coding	R3hdm2	R3hdm2
322	ENSMUSG00000103384	322	Gm37753	GM37753	AXON	CONTRAS	antisense	RP23-193O23.4	RP23-193O23.4
323	ENSMUSG00000061589	323	Dot1l	DOT1L	AXON	CONTRAS	protein_coding	Dot1l	Dot1l
324	ENSMUSG00000018537	324	Pcgf2	PCGF2	AXON	CONTRAS	protein_coding	Pcgf2	Pcgf2
325	ENSMUSG00000097300	325	NA	NA	AXON	CONTRAS	lincRNA	Gm26835	Gm26835
326	ENSMUSG00000028560	326	Usp1	USP1	AXON	CONTRAS	protein_coding	Usp1	Usp1
327	ENSMUSG00000032547	327	Ryk	RYK	AXON	CONTRAS	protein_coding	Ryk	Ryk
328	ENSMUSG00000056342	328	Usp34	USP34	AXON	CONTRAS	protein_coding	Usp34	Usp34
329	ENSMUSG00000061136	329	Prpf40a	PRPF40A	AXON	CONTRAS	protein_coding	Prpf40a	Prpf40a
330	ENSMUSG00000097501	330	NA	NA	AXON	CONTRAS	lincRNA	Gm26536	Gm26536
