ranking	genes	Gene.name.1	Gene2	Gene.type
702	ENSMUSG00000008136	Fhl2	FHL2	NA
703	ENSMUSG00000015776	Med22	MED22	NA
704	ENSMUSG00000025607	Copg2	COPG2	NA
705	ENSMUSG00000036634	Mag	MAG	NA
706	ENSMUSG00000072949	Acot1	ACOT1	NA
707	ENSMUSG00000022488	Nckap1l	NCKAP1L	NA
708	ENSMUSG00000037370	Enpp1	ENPP1	NA
709	ENSMUSG00000028986	Klhl7	KLHL7	NA
710	ENSMUSG00000037902	Sirpa	SIRPA	NA
711	ENSMUSG00000087385	Frg2f1	FRG2F1	NA
712	ENSMUSG00000068566	Myadm	MYADM	NA
713	ENSMUSG00000037594	Clba1	CLBA1	NA
714	ENSMUSG00000104444	Gm33051	GM33051	NA
715	ENSMUSG00000079481	Nhsl2	NHSL2	NA
716	ENSMUSG00000013275	Slc41a1	SLC41A1	NA
717	ENSMUSG00000043496	Tril	TRIL	NA
718	ENSMUSG00000082389	Mkrn1-ps1	MKRN1-PS1	NA
719	ENSMUSG00000026728	Vim	VIM	NA
720	ENSMUSG00000030230	Plcz1	PLCZ1	NA
721	ENSMUSG00000039116	Adgrg6	ADGRG6	NA
722	ENSMUSG00000026535	Ifi202b	IFI202B	NA
723	ENSMUSG00000023055	Calcoco1	CALCOCO1	NA
724	ENSMUSG00000033902	Mapkbp1	MAPKBP1	NA
725	ENSMUSG00000042207	Kdm5b	KDM5B	NA
726	ENSMUSG00000047205	Dusp18	DUSP18	NA
727	ENSMUSG00000097487	Ptges3l	PTGES3L	NA
728	ENSMUSG00000059588	Calcrl	CALCRL	NA
729	ENSMUSG00000020023	Tmcc3	TMCC3	NA
730	ENSMUSG00000070880	Gad1	GAD1	NA
731	ENSMUSG00000018698	Lhx1	LHX1	NA
732	ENSMUSG00000028565	Nfia	NFIA	NA
733	ENSMUSG00000015243	Abca1	ABCA1	NA
734	ENSMUSG00000041633	Kctd12b	KCTD12B	NA
735	ENSMUSG00000030428	Ttyh1	TTYH1	NA
736	ENSMUSG00000017390	Aldoc	ALDOC	NA
737	ENSMUSG00000092837	Rpph1	RPPH1	NA
738	ENSMUSG00000045994	B3gat1	B3GAT1	NA
739	ENSMUSG00000033308	Dpyd	DPYD	NA
740	ENSMUSG00000033981	Gria2	GRIA2	NA
741	ENSMUSG00000001864	Aif1l	AIF1L	NA
742	ENSMUSG00000019990	Pde7b	PDE7B	NA
743	ENSMUSG00000031374	Zfp92	ZFP92	NA
744	ENSMUSG00000028949	Smarcd3	SMARCD3	NA
745	ENSMUSG00000044548	Dact1	DACT1	NA
746	ENSMUSG00000029765	Plxna4	PLXNA4	NA
747	ENSMUSG00000066392	Nrxn3	NRXN3	NA
748	ENSMUSG00000032735	Ablim3	ABLIM3	NA
749	ENSMUSG00000024713	Pcsk5	PCSK5	NA
750	ENSMUSG00000064351	mt-Co1	MT-CO1	NA
751	ENSMUSG00000034858	Fam214a	FAM214A	NA
752	ENSMUSG00000071531	Gprin2	GPRIN2	NA
753	ENSMUSG00000038181	Chpf2	CHPF2	NA
754	ENSMUSG00000027878	Notch2	NOTCH2	NA
755	ENSMUSG00000022636	Alcam	ALCAM	NA
756	ENSMUSG00000031214	Ophn1	OPHN1	NA
757	ENSMUSG00000042429	Adora1	ADORA1	NA
758	ENSMUSG00000030108	Slc6a13	SLC6A13	NA
759	ENSMUSG00000030029	Lrig1	LRIG1	NA
760	ENSMUSG00000032035	Ets1	ETS1	NA
761	ENSMUSG00000048537	Phldb1	PHLDB1	NA
762	ENSMUSG00000024593	Megf10	MEGF10	NA
763	ENSMUSG00000043557	Mdga1	MDGA1	NA
764	ENSMUSG00000038780	Smurf1	SMURF1	NA
765	ENSMUSG00000041658	Rragb	RRAGB	NA
766	ENSMUSG00000089990	Gm15852	GM15852	NA
767	ENSMUSG00000038267	Slc22a23	SLC22A23	NA
768	ENSMUSG00000000560	Gabra2	GABRA2	NA
769	ENSMUSG00000034647	Ankrd12	ANKRD12	NA
770	ENSMUSG00000013584	Aldh1a2	ALDH1A2	NA
771	ENSMUSG00000055078	Gabra5	GABRA5	NA
772	ENSMUSG00000030223	Ptpro	PTPRO	NA
773	ENSMUSG00000026365	Cfh	CFH	NA
774	ENSMUSG00000020866	Cacna1g	CACNA1G	NA
775	ENSMUSG00000022762	Ncam2	NCAM2	NA
776	ENSMUSG00000075590	Nrbp2	NRBP2	NA
777	ENSMUSG00000046240	Hepacam	HEPACAM	NA
778	ENSMUSG00000030653	Gm45837	GM45837	NA
779	ENSMUSG00000053550	Shisa7	SHISA7	NA
780	ENSMUSG00000020374	Rasgef1c	RASGEF1C	NA
781	ENSMUSG00000070498	Tmem132b	TMEM132B	NA
782	ENSMUSG00000055945	Prr18	PRR18	NA
783	ENSMUSG00000035095	Fam167a	FAM167A	NA
784	ENSMUSG00000023931	Efhb	EFHB	NA
785	ENSMUSG00000044338	Aplnr	APLNR	NA
787	ENSMUSG00000035064	Eef2k	EEF2K	NA
788	ENSMUSG00000029999	Tgfa	TGFA	NA
789	ENSMUSG00000052917	Senp7	SENP7	NA
790	ENSMUSG00000027010	Slc25a12	SLC25A12	NA
791	ENSMUSG00000022951	Rcan1	RCAN1	NA
792	ENSMUSG00000005089	Slc1a2	SLC1A2	NA
793	ENSMUSG00000039286	Fndc3b	FNDC3B	NA
794	ENSMUSG00000037606	Osbpl5	OSBPL5	NA
795	ENSMUSG00000051343	Rab11fip5	RAB11FIP5	NA
796	ENSMUSG00000025468	Caly	CALY	NA
797	ENSMUSG00000058740	Kcnt1	KCNT1	NA
798	ENSMUSG00000093772	4931403E22Rik	4931403E22RIK	NA
799	ENSMUSG00000031808	Slc27a1	SLC27A1	NA
800	ENSMUSG00000047878	A4galt	A4GALT	NA
801	ENSMUSG00000032179	Bmp5	BMP5	NA
802	ENSMUSG00000034706	Dnai2	DNAI2	NA
803	ENSMUSG00000058975	Kcnc1	KCNC1	NA
804	ENSMUSG00000039328	Rnf122	RNF122	NA
805	ENSMUSG00000039680	Mrps6	MRPS6	NA
806	ENSMUSG00000031327	Chic1	CHIC1	NA
807	ENSMUSG00000061576	Dpp6	DPP6	NA
808	ENSMUSG00000046876	Atxn1	ATXN1	NA
809	ENSMUSG00000049119	Fam110b	FAM110B	NA
810	ENSMUSG00000108601	Gm44645	GM44645	NA
811	ENSMUSG00000024451	Arap3	ARAP3	NA
812	ENSMUSG00000003974	Grm3	GRM3	NA
813	ENSMUSG00000073805	Insyn2a	INSYN2A	NA
814	ENSMUSG00000030393	Zik1	ZIK1	NA
815	ENSMUSG00000039037	St6galnac5	ST6GALNAC5	NA
816	ENSMUSG00000079022	Col22a1	COL22A1	NA
817	ENSMUSG00000090223	Pcp4	PCP4	NA
818	ENSMUSG00000036862	Dchs1	DCHS1	NA
819	ENSMUSG00000060512	0610040J01Rik	0610040J01RIK	NA
820	ENSMUSG00000048895	Cdk5r1	CDK5R1	NA
821	ENSMUSG00000017344	Vtn	VTN	NA
