ranking	genes	Gene.name.1	Gene2	Gene.type
409	ENSMUSG00000068615	Gjd2	GJD2	protein_coding
411	ENSMUSG00000035131	Brinp3	BRINP3	protein_coding
412	ENSMUSG00000037022	Mmaa	MMAA	protein_coding
413	ENSMUSG00000045733	Sprn	SPRN	protein_coding
414	ENSMUSG00000031344	Gabrq	GABRQ	protein_coding
415	ENSMUSG00000041132	N4bp2l1	N4BP2L1	protein_coding
416	ENSMUSG00000031576	Kcnu1	KCNU1	protein_coding
418	ENSMUSG00000001663	Gstt1	GSTT1	protein_coding
419	ENSMUSG00000031133	Arhgef6	ARHGEF6	protein_coding
421	ENSMUSG00000059991	Nptx2	NPTX2	protein_coding
422	ENSMUSG00000009394	Syn2	SYN2	protein_coding
423	ENSMUSG00000036469	Marchf1	MARCHF1	protein_coding
424	ENSMUSG00000070644	Etnk2	ETNK2	protein_coding
572	ENSMUSG00000030806	Stx1b	STX1B	protein_coding
582	ENSMUSG00000048216	Gpr85	GPR85	protein_coding
612	ENSMUSG00000039740	Alg2	ALG2	protein_coding
653	ENSMUSG00000034799	Unc13a	UNC13A	protein_coding
679	ENSMUSG00000027035	Cers6	CERS6	protein_coding
786	ENSMUSG00000074736	Syndig1	SYNDIG1	protein_coding
836	ENSMUSG00000040412	Elapor1	ELAPOR1	protein_coding
866	ENSMUSG00000028064	Sema4a	SEMA4A	protein_coding
908	ENSMUSG00000029217	Tec	TEC	protein_coding
990	ENSMUSG00000027347	Rasgrp1	RASGRP1	protein_coding
1005	ENSMUSG00000022973	Synj1	SYNJ1	protein_coding
1070	ENSMUSG00000025892	Gria4	GRIA4	protein_coding
1113	ENSMUSG00000037410	Tbc1d2b	TBC1D2B	protein_coding
1139	ENSMUSG00000000605	Clcn4	CLCN4	protein_coding
1241	ENSMUSG00000026247	Ecel1	ECEL1	protein_coding
1260	ENSMUSG00000033885	Pxk	PXK	protein_coding
307	ENSMUSG00000089281	Scarna6	SCARNA6	scaRNA
333	ENSMUSG00000106262	Gm43375	GM43375	TEC
420	ENSMUSG00000103945	Gm38228	GM38228	TEC
410	ENSMUSG00000071265	1700086L19Rik	1700086L19RIK	transcribed_unitary_pseudogene
401	ENSMUSG00000041596	Nlrp5-ps	NLRP5-PS	transcribed_unprocessed_pseudogene
